Binance Pair,Currency,Market
ETHBTC,ETH,BTC
LTCBTC,LTC,BTC
BNBBTC,BNB,BTC
NEOBTC,NEO,BTC
QTUMETH,QTUM,ETH
EOSETH,EOS,ETH
SNTETH,SNT,ETH
BNTETH,BNT,ETH
GASBTC,GAS,BTC
BNBETH,BNB,ETH
BTCUSDT,BTC,USDT
ETHUSDT,ETH,USDT
WTCBTC,WTC,BTC
LRCBTC,LRC,BTC
LRCETH,LRC,ETH
QTUMBTC,QTUM,BTC
OMGBTC,OMG,BTC
OMGETH,OMG,ETH
ZRXBTC,ZRX,BTC
ZRXETH,ZRX,ETH
KNCBTC,KNC,BTC
KNCETH,KNC,ETH
FUNETH,FUN,ETH
SNMBTC,SNM,BTC
NEOETH,NEO,ETH
IOTABTC,IOTA,BTC
IOTAETH,IOTA,ETH
LINKBTC,LINK,BTC
LINKETH,LINK,ETH
XVGETH,XVG,ETH
MDABTC,MDA,BTC
MTLBTC,MTL,BTC
MTLETH,MTL,ETH
EOSBTC,EOS,BTC
SNTBTC,SNT,BTC
ETCETH,ETC,ETH
ETCBTC,ETC,BTC
DNTBTC,DNT,BTC
ZECBTC,ZEC,BTC
ZECETH,ZEC,ETH
BNTBTC,BNT,BTC
ASTBTC,AST,BTC
DASHBTC,DASH,BTC
DASHETH,DASH,ETH
OAXBTC,OAX,BTC
BTGBTC,BTG,BTC
REQBTC,REQ,BTC
VIBBTC,VIB,BTC
VIBETH,VIB,ETH
TRXBTC,TRX,BTC
TRXETH,TRX,ETH
POWRBTC,POWR,BTC
POWRETH,POWR,ETH
ARKBTC,ARK,BTC
XRPBTC,XRP,BTC
XRPETH,XRP,ETH
ENJBTC,ENJ,BTC
ENJETH,ENJ,ETH
STORJBTC,STORJ,BTC
BNBUSDT,BNB,USDT
KMDBTC,KMD,BTC
NULSBTC,NULS,BTC
XMRBTC,XMR,BTC
XMRETH,XMR,ETH
AMBBTC,AMB,BTC
BATBTC,BAT,BTC
BATETH,BAT,ETH
NEOUSDT,NEO,USDT
NEOBNB,NEO,BNB
QSPBTC,QSP,BTC
BTSBTC,BTS,BTC
LSKBTC,LSK,BTC
